for 0.6
Front Nose down 
A:   0.4  32.5 | G:    0.1   -8.5    0.2 | P:  -0.5 -33.9  -0.3 | M: 1067 1133 1133 1067 | V: 11911 | T: 690 us
A:   0.3  33.1 | G:   -0.2  -10.2   -0.4 | P:  -0.2 -33.6   0.9 | M: 1067 1133 1133 1067 | V: 11911 | T: 689 us
A:   0.5  34.5 | G:    0.2   -8.3    0.1 | P:  -0.7 -36.4  -0.2 | M: 1064 1136 1136 1064 | V: 11911 | T: 690 us
A:   0.5  35.5 | G:    0.2   -6.9    0.4 | P:  -0.7 -38.5  -0.8 | M: 1062 1138 1138 1062 | V: 11911 | T: 690 us
A:   0.5  36.1 | G:    0.2   -7.9    0.2 | P:  -0.7 -38.6  -0.3 | M: 1062 1138 1138 1062 | V: 11911 | T: 689 us
A:   0.5  36.9 | G:   -0.1   -9.5   -0.1 | P:  -0.5 -38.6   0.1 | M: 1062 1138 1138 1062 | V: 11911 | T: 690 us
A:   0.6  38.0 | G:    1.2   -8.1    0.7 | P:  -1.4 -40.7  -1.4 | M: 1060 1142 1138 1060 | V: 11911 | T: 690 us
A:   0.5  38.9 | G:    0.5   -7.2    0.5 | P:  -0.9 -42.4  -1.1 | M: 1057 1143 1141 1059 | V: 11911 | T: 690 us
A:   0.4  40.1 | G:   -0.1   -6.1   -0.1 | P:  -0.4 -44.5   0.1 | M: 1056 1144 1144 1056 | V: 11911 | T: 690 us
A:   0.5  41.3 | G:    0.3   -1.4    0.4 | P:  -0.8 -48.8  -0.7 | M: 1052 1148 1148 1052 | V: 11911 | T: 690 us
A:   0.6  41.4 | G:    0.6   -0.8    0.7 | P:  -1.0 -49.2  -1.4 | M: 1051 1151 1147 1051 | V: 11911 | T: 690 us
A:   0.4  41.6 | G:    0.1    0.4    0.2 | P:  -0.5 -50.2  -0.3 | M: 1050 1150 1150 1050 | V: 11911 | T: 690 us
A:   0.5  41.8 | G:    0.7    0.6    1.0 | P:  -1.1 -50.4  -1.9 | M: 1050 1152 1148 1050 | V: 11911 | T: 690 us
A:   0.6  41.8 | G:    0.7    0.4    0.5 | P:  -1.1 -50.4  -1.1 | M: 1050 1152 1148 1050 | V: 11911 | T: 690 us
A:   0.4  41.4 | G:    0.2    0.1   -0.1 | P:  -0.6 -49.8   0.1 | M: 1051 1149 1149 1051 | V: 11911 | T: 690 us
A:   0.4  41.8 | G:   -0.3    0.6   -0.3 | P:  -0.3 -50.5   0.6 | M: 1050 1150 1150 1050 | V: 11911 | T: 690 us
A:   0.6  41.7 | G:    0.7    1.0    0.7 | P:  -1.2 -50.7  -1.4 | M: 1050 1152 1148 1050 | V: 11911 | T: 690 us
